id;nombre;descripcion;telefono_negocio;numero_puestos;tarifa;fotografia;fotografia_content_type;impuesto
1;input Rhode Island Tuna;Gloves;parse user-facing;53955;4317;../data/blob/hipster.png;image/png;ICO
2;Manager Borders Pizza;interface Saint Lucia;generate Money Market Account;10593;56502;../data/blob/hipster.png;image/png;IVA19
3;New York PNG initiatives;Overpass;open-source;74171;72646;../data/blob/hipster.png;image/png;IPOCONSUMO8
4;deposit knowledge user input;Home Loan Account magenta dynamic;Martinique Albania synthesizing;83996;3531;../data/blob/hipster.png;image/png;IVA19
5;Croatian Kuna hack;implementation XML Liaison;deploy payment;78039;88619;../data/blob/hipster.png;image/png;IVA0
6;withdrawal Clothing;Books;Pants Bacon;38767;9299;../data/blob/hipster.png;image/png;IVA19
7;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;60214;26982;../data/blob/hipster.png;image/png;ICO
8;deposit Car;out-of-the-box mobile program;connecting Japan enable;12237;32819;../data/blob/hipster.png;image/png;IVA19
9;1080p parse;Paradigm deposit systems;Buckinghamshire Computer;68591;40990;../data/blob/hipster.png;image/png;IVA19
10;mint green Maine;strategic Clothing Toys;Indiana Denar Paradigm;78258;94067;../data/blob/hipster.png;image/png;IVA19
